City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
272,Pogonsili,PH,76.37,light rain,15.82,120.26,Nica's Palace Restaurant
275,Kalmunai,LK,80.6,light rain,7.42,81.82,VS Villa
279,Namatanai,PG,79.34,broken clouds,-3.67,152.43,Namatanai Hotel
280,Lufilufi,WS,75.2,scattered clouds,-13.87,-171.6,Leuaina Beach Resort and Spa
283,Ixtapa,MX,88.0,scattered clouds,20.7,-105.2,Container Inn Puerto Vallarta
285,Kirakira,SB,79.3,light rain,-10.45,161.92,SanBiz Lodge
288,Tabou,CI,80.33,light rain,4.42,-7.35,hotêl doufoulougou
289,Kahului,US,78.8,clear sky,20.89,-156.47,Maui Seaside Hotel
292,Kloulklubed,PW,75.2,scattered clouds,7.04,134.26,Storyboard Beach Resort
296,Sao Filipe,CV,82.67,overcast clouds,14.9,-24.5,Tortuga B&B
299,Bilma,NE,77.52,clear sky,18.69,12.92,Expeditions Ténére voyages
300,Ajdabiya,LY,77.5,clear sky,30.76,20.23,الحاج سليمان الشترة
303,Yenagoa,NG,78.33,moderate rain,4.92,6.26,Amba Hotels Limited
308,Sam Roi Yot,TH,76.39,overcast clouds,12.27,99.87,ซีบรีชรีสอร์ท สามร้อยยอด
310,Iberia,US,81.0,overcast clouds,29.95,-91.75,back to back rv park
311,Sompeta,IN,77.65,clear sky,18.93,84.6,V.B.R A/C Lodge And Function Hall
312,Lazaro Cardenas,MX,85.3,overcast clouds,17.96,-102.2,Collection O Hotel Quinta Antigua
313,Faanui,PF,79.66,broken clouds,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
315,Ibirama,BR,89.01,clear sky,-27.06,-49.52,Hotel Soralete
322,Caravelas,BR,82.24,overcast clouds,-17.71,-39.25,Pousada dos Navegantes
323,Cozumel,MX,84.2,broken clouds,20.51,-86.95,Cozumel Palace® All Inclusive Resort
325,Mbandaka,CD,76.48,light rain,0.05,18.26,Guest House Epervier
328,Miandrivazo,MG,82.45,light rain,-19.52,45.47,Hôtel Arc En Ciel Miandrivazo
329,Vila Velha,BR,81.0,scattered clouds,-20.33,-40.29,Hotel Vitória Palace
331,Pontianak,ID,75.15,overcast clouds,-0.03,109.33,Aston Pontianak Hotel & Convention Center
335,Hobyo,SO,80.24,clear sky,5.35,48.53,Osmani Hotel
337,Araguari,BR,84.06,broken clouds,-18.65,-48.19,Big Executive Hotel - Araguari MG
339,Guarapari,BR,81.0,broken clouds,-20.67,-40.5,Hotel Porto do Sol
340,Jaguaruna,BR,75.18,light rain,-28.61,-49.03,Pousada Recanto das Flores Jaguaruna
341,Acapulco,MX,84.2,overcast clouds,16.86,-99.89,HS Hotsson Smart Acapulco
342,Wewak,PG,78.55,light rain,-3.55,143.63,In Wewak Boutique Hotel
345,San Rafael,AR,75.09,clear sky,-34.62,-68.33,Hotel San Rafael
350,Fare,PF,80.08,moderate rain,-16.7,-151.02,Maitai Lapita Village Huahine
351,Galle,LK,79.38,overcast clouds,6.04,80.22,Amangalla
354,Tiarei,PF,78.8,broken clouds,-17.53,-149.33,Le Rocher de Tahiti
357,Kencong,ID,76.68,light rain,-8.28,113.37,PP. AL-QUR'AN AL-FADHILAH
361,Porto Novo,BJ,84.2,scattered clouds,6.5,2.6,Tour Eiffel Hotel Benin
365,Rincon,US,82.4,broken clouds,32.3,-81.24,Bent tree subdivision
366,Pak Phanang,TH,79.29,overcast clouds,8.35,100.2,Green Park Inn Hotel
368,Aswan,EG,86.86,clear sky,24.09,32.91,Nuba Nile
369,Inhambane,MZ,78.8,few clouds,-23.86,35.38,Oceano
371,Apiai,BR,82.09,scattered clouds,-24.51,-48.84,Pousada Villa Branca
384,Gat,IL,78.01,clear sky,31.61,34.76,OlusHome
387,Puri,IN,75.2,haze,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
389,Villa Carlos Paz,AR,84.99,dust,-31.42,-64.5,Monte Carlo
392,Ternate,ID,81.1,light rain,0.8,127.4,Grand Dafam Bela Ternate
393,Monrovia,LR,86.0,broken clouds,6.3,-10.8,Eco-Hotel Hall & Restaurant
396,Labuhan,ID,79.11,overcast clouds,-6.88,112.21,bador sepret
407,Leuwiliang,ID,79.0,haze,-6.57,106.63,KOMPLEK PWI JAYA
409,Bac Lieu,VN,78.46,heavy intensity rain,9.29,105.72,Khách sạn Sài Gòn Bạc Liêu
411,Pitimbu,BR,86.0,scattered clouds,-7.47,-34.81,Reserva do Abiaí
412,Moron,AR,75.0,clear sky,-34.65,-58.62,Hotel Morón
413,Winburg,ZA,75.94,scattered clouds,-28.52,27.01,Hotel Winburg
415,Caraballeda,VE,81.0,light rain,10.61,-66.85,Hotel 15 Letras
419,Namwala,ZM,85.41,few clouds,-15.75,26.44,Corner Point Lodge
422,Am Timan,TD,85.57,clear sky,11.03,20.28,Palais du chef Canton Salamt
431,Praya,CV,89.6,overcast clouds,14.92,-23.51,LT Aparthotel
435,Harpalpur,IN,76.15,clear sky,25.29,79.33,Shri bandhan gharana
436,Maragogi,BR,81.59,overcast clouds,-9.01,-35.22,Salinas do Maragogi All Inclusive Resort
445,Limaong,PH,79.43,overcast clouds,7.36,122.37,Malanta Beach
447,Jacareacanga,BR,82.99,overcast clouds,-6.22,-57.75,Casa do Ian😎
448,Luangwa,ZM,86.41,clear sky,-15.62,30.42,Gerasimos Safari Lodge
449,Nouadhibou,MR,80.6,dust,20.93,-17.03,El Medina
451,Marawi,PH,75.0,light rain,8.0,124.29,Derogongan Residence
454,Paraiso,CR,81.0,clear sky,9.84,-83.87,Rinconcito Verde
456,Xochistlahuaca,MX,86.86,light rain,16.78,-98.25,La frontera
457,Numan,NG,86.22,clear sky,9.47,12.03,Zangun Motel
458,Yarada,IN,82.4,haze,17.65,83.27,"D-26/2, Dolphin Hill,"
463,Waqqas,JO,78.8,scattered clouds,32.54,35.61,Jordan EcoPark
469,Ranong,TH,79.0,broken clouds,9.97,98.63,Tinidee Hotel@Ranong
471,Acari,PE,78.73,overcast clouds,-15.43,-74.62,Hospedaje Ximens
476,Mayumba,GA,78.21,broken clouds,-3.43,10.66,LIKWALE LODGE
481,Port-Gentil,GA,80.6,broken clouds,-0.72,8.78,Fengshui Residence
488,Amahai,ID,81.0,light rain,-3.33,128.92,Peternakan Ayam Bangkok Manisso
496,Russell,US,79.0,overcast clouds,32.35,-85.2,Macs
497,Colombo,LK,82.4,few clouds,6.93,79.85,Galle Face Hotel
503,Rio Branco Do Sul,BR,84.0,clear sky,-25.19,-49.31,Dr Hotel Rio Branco do Sul
506,Todos Santos,MX,75.0,clear sky,23.45,-110.22,Hotel California Todos Santos
509,Narasannapeta,IN,76.19,few clouds,18.42,84.05,G.lingaraju home
510,Tahta,EG,87.8,clear sky,26.77,31.5,Møhãmęd Tãręk 🏠
518,Cam Ranh,VN,80.6,moderate rain,11.92,109.16,OYO 598 Peony Hotel
521,Diffa,NE,86.85,broken clouds,13.32,12.61,ProDAF/Diffa
523,Itacare,BR,82.4,light rain,-14.28,-39.0,Ecoporan Hotel Charme Spa & Eventos
525,Feni,BD,75.22,clear sky,23.02,91.41,"Best Inn Hotel, Restaurant, Convention"
531,Gizo,SB,82.72,light rain,-8.1,156.84,Imagination Island
532,Minab,IR,80.6,clear sky,27.15,57.08,فروشگاه موبایل ترکمانی
536,Tarakan,ID,81.01,moderate rain,3.3,117.63,RedDoorz Syariah near Taman Berlabuh Tarakan
537,Alexandria,EG,75.2,scattered clouds,31.22,29.96,Royal Crown Hotel
539,Bandar-E Lengeh,IR,77.0,clear sky,26.56,54.88,کافی نت پارس
541,Dong Hoi,VN,76.75,overcast clouds,17.48,106.6,Nam Long Hotel
542,Pihuamo,MX,80.6,scattered clouds,19.25,-103.38,Hotel Primavera
550,Parrita,CR,81.0,clear sky,9.52,-84.32,Beso del Viento
553,Cacu,BR,87.4,broken clouds,-18.56,-51.13,Império Hotel
555,Tamandare,BR,81.97,broken clouds,-8.76,-35.1,Pousada 100 Passos
557,Road Town,VG,87.8,scattered clouds,18.42,-64.62,"ZINGARA 76ft Catamaran, full crew-all included"
558,Itarantim,BR,89.24,light rain,-15.66,-40.07,Pousada Buterfly
564,Beira,MZ,78.8,few clouds,-19.84,34.84,Beira Terrace Hotel
565,Bontang,ID,79.93,overcast clouds,0.13,117.5,Okra Leaf Guest House Syariah
566,Dosso,NE,89.11,broken clouds,13.05,3.19,Hotel Toubal
569,Salinopolis,BR,85.86,few clouds,-0.61,-47.36,Hotel Salinópolis
570,Imbituba,BR,80.6,scattered clouds,-28.24,-48.67,Praia Hotel Imbituba
577,Balabac,PH,82.27,light rain,7.99,117.06,Sing and Swing Lodge
579,Kavieng,PG,82.09,broken clouds,-2.57,150.8,Nusa Island Retreat
580,Sao Joao Da Barra,BR,84.2,few clouds,-21.64,-41.05,Pousada Porto De Canoas
590,Nargana,PA,85.33,clear sky,9.44,-78.59,Dubbir
595,Saint-Pierre,RE,75.2,broken clouds,-21.34,55.48,Lindsey Hôtel
597,Atambua,ID,76.06,overcast clouds,-9.11,124.89,Pondok Pesantren Al Muhajirin Atambua
598,Si Racha,TH,86.0,moderate rain,13.17,100.93,Cape Racha Hotel & Serviced Apartments
600,Camiri,BO,89.6,clear sky,-20.05,-63.52,J R Hotel
601,Coahuayana,MX,80.6,scattered clouds,18.73,-103.68,Hotel Los Arcos
603,Melaka,MY,80.6,few clouds,2.2,102.24,Hatten Hotel Melaka
604,Manokwari,ID,79.36,light rain,-0.87,134.08,Swiss Belhotel Manokwari
606,Salalah,OM,80.6,clear sky,17.02,54.09,HAMDAN PLAZA HOTEL
607,Banda Aceh,ID,80.33,broken clouds,5.56,95.32,OYO 884 Rumoh PMI Hotel
612,Bandundu,CD,79.32,light rain,-3.32,17.37,Coja Color
614,Biak,ID,77.85,overcast clouds,-0.91,122.88,Kost Ariz
627,Impfondo,CG,75.69,light rain,1.64,18.07,Préfecture de la Likouala
630,Tomatlan,MX,89.74,scattered clouds,19.93,-105.25,Norma franco
632,Coruripe,BR,83.44,broken clouds,-10.13,-36.18,Pousada e Hotel Litoral Sul
635,Bushehr,IR,86.0,clear sky,28.97,50.84,Yas Hotel
637,Buala,SB,79.52,light rain,-8.14,159.59,Maringe Lagoon Lodge
638,Itambe,BR,88.32,light rain,-15.24,-40.62,Pousada Tropical
640,Camocim,BR,86.72,scattered clouds,-2.9,-40.84,Hotel Ilha do Amor
645,Port Moresby,PG,78.8,broken clouds,-9.44,147.18,Lamana Hotel
646,Katherine,AU,78.8,overcast clouds,-14.47,132.27,Pine Tree Motel
648,Binga,ZW,83.8,clear sky,-17.62,27.34,Lakeview Inn Binga
656,Isla Aguada,MX,82.4,overcast clouds,18.78,-91.47,Freedom Shores
657,Tanete,ID,75.85,overcast clouds,-3.94,119.78,Wisma Tri Multi
659,The Valley,AI,82.4,scattered clouds,18.22,-63.06,CeBlue Villas & Beach Resort
